scenario~forename~surname~total~monthly~fee~prorata~orid~payref~membership~id~,
OJ15E2EREG52 Anytime  12 months WB - DD DISCOUT 20% NMF~DavidStageNov01-1~ATTest-1~£864.00~null~£0.00~£0.00~6420000002403~3011624784~642000074~0068E000009AkR1~,
OJ15E2EREG52 Anytime  12 months WB - DD DISCOUT 20% NMF,David,Archer,£931.20,£72.00,£0.00,£67.20,6420000002408,3011673866,642000075,0068E000009Asfi,
OJ15E2EREG52 Anytime  12 months WB - DD DISCOUT 20% NMF,David,Archer,£931.20,£72.00,£0.00,£67.20,6420000002409,3011674357,642000076,0068E000009Asgl,
OJ15E2EREG52 Anytime  12 months WB - DD DISCOUT 20% NMF,David,Archer,£931.20,£72.00,£0.00,£67.20,6420000002412,3011676459,642000077,0068E000009AsoJ,
OLJPLAIN01 Anytime  12 months current - One Time Payment,DavidStageNov03~0,ATTest~0,£860.75,null,£20.00,£59.75,1690000002413,3011676987,169028704,0068E000009Asrg,
OJ15E2EREG52 Anytime  12 months WB - DD DISCOUT 20% NMF,David,Archer,£931.20,£72.00,£0.00,£67.20,6420000002414,3011677057,642000078,0068E000009Asrl,
OLJPLAIN01 Anytime  12 months current - One Time Payment,DavidStageNov03~1,ATTest~1,£860.75,null,£20.00,£59.75,1690000002415,3011677236,169028705,0068E000009Asrv,
OLJPLAIN01 Anytime  12 months current - One Time Payment,DavidStageNov03~2,ATTest~2,£860.75,null,£20.00,£59.75,1690000002416,3011677768,169028706,0068E000009AstI,
OLJPLAIN01 Anytime  12 months current - One Time Payment,DavidStageNov03~3,ATTest~3,£860.75,null,£20.00,£59.75,1690000002417,3011678054,169028707,0068E000009Astr,
OLJPLAIN01 Anytime  12 months current - One Time Payment,DavidStageNov07~0,ATTest~0,£852.21,null,£20.00,£51.21,1690000002488,3011898396,169028767,0068E000009B0Ih,
OLJPLAIN05 Anytime  12 months current - DD,David,Archer,£928.80,£71.00,£20.00,£56.80,1690000002489,3011905258,169028768,0068E000009B0U4,
OLJPLAIN05 Anytime  12 months current - DD,David,Archer,£928.80,£71.00,£20.00,£56.80,1690000002490,3011905901,169028769,0068E000009B0UO,
OLJPLAIN01 Anytime  12 months current - One Time Payment,DavidStageNov07~1,ATTest~1,£852.21,null,£20.00,£51.21,1690000002491,3011906083,169028770,0068E000009B0UT,
OLJPLAIN03 Offpeak  12 months current - One Time Payment,DavidStageNov07~2,ATTest~2,£711.56,null,£20.00,£42.56,1690000002492,3011906186,169028771,0068E000009B0UY,
OLJPLAIN04 Offpeak  12 months WB current - One Time Payment,DavidStageNov07~3,ATTest~3,£817.05,null,£20.00,£49.05,1690000002493,3011906287,169028772,0068E000009B0Ud,
OLJPLAIN07 Anytime  12 months current - DD,David,Archer,£775.20,£59.00,£20.00,£47.20,1690000002495,3011906571,169028774,0068E000009B0Un,
OLJPLAIN08 Offpeak  12 months current - DD,David,Archer,£890.40,£68.00,£20.00,£54.40,1690000002496,3011906685,169028775,0068E000009B0Us,
OLJPLAIN01 Anytime  12 months current - One Time Payment,DavidStageNov07~4,ATTest~4,£852.21,null,£20.00,£51.21,1690000002497,3011907090,169028776,0068E000009B0V2,
OLJPLAIN03 Offpeak  12 months current - One Time Payment,DavidStageNov07~5,ATTest~5,£711.56,null,£20.00,£42.56,1690000002498,3011907211,169028777,0068E000009B0V7,
OLJPLAIN04 Offpeak  12 months WB current - One Time Payment,DavidStageNov07~6,ATTest~6,£817.05,null,£20.00,£49.05,1690000002499,3011907300,169028778,0068E000009B0VC,
OLJPLAIN06 Anytime  12 months current - DD,David,Archer,£1,031.20,£79.00,£20.00,£63.20,1690000002500,3011907546,169028779,0068E000009B0VH,
OLJPLAIN07 Anytime  12 months current - DD,David,Archer,£775.20,£59.00,£20.00,£47.20,1690000002501,3011907686,169028780,0068E000009B0VM,
OLJPLAIN08 Offpeak  12 months current - DD,David,Archer,£890.40,£68.00,£20.00,£54.40,1690000002502,3011907785,169028781,0068E000009B0VW,
OLJPLAIN03 Offpeak  12 months current - One Time Payment,DavidStageNov08~0,ATTest~0,£709.78,null,£20.00,£40.78,1690000002504,3011945081,169028783,0068E000009B9lx,
OLJPLAIN05 Anytime  12 months current - DD,David,Archer,£926.43,£71.00,£20.00,£54.43,1690000002505,3011945585,169028784,0068E000009B9oh,
OLJPLAIN02 Anytime  12 months WB current - One Time Payment,DavidStageNov08~1,ATTest~1,£943.61,null,£20.00,£54.61,1690000002508,3011946750,169028787,0068E000009B9vv,
OLJPLAIN02 Anytime  12 months WB current - One Time Payment,DavidStageNov08~2,ATTest~2,£943.61,null,£20.00,£54.61,1690000002510,3011947096,169028789,0068E000009B9xI,
OLJPLAIN02 Anytime  12 months WB current - One Time Payment,DavidStageNov08~3,ATTest~3,£943.61,null,£20.00,£54.61,1690000002512,3011948211,169028791,0068E000009B9zt,
OLJPLAIN02 Anytime  12 months WB current - One Time Payment,DavidStageNov08~4,ATTest~4,£943.61,null,£20.00,£54.61,1690000002513,3011948434,169028792,0068E000009BA17,
OLJPLAIN01 Anytime  12 months current - One Time Payment,DavidStageNov08~5,ATTest~5,£850.08,null,£20.00,£49.08,1690000002514,3011948714,169028793,0068E000009BA1W,
OLJPLAIN02 Anytime  12 months WB current - One Time Payment,DavidStageNov08~6,ATTest~6,£943.61,null,£20.00,£54.61,1690000002515,3011948852,169028794,0068E000009BA1q,
OLJPLAIN03 Offpeak  12 months current - One Time Payment,DavidStageNov08~7,ATTest~7,£709.78,null,£20.00,£40.78,1690000002516,3011948959,169028795,0068E000009BA2A,
OLJPLAIN04 Offpeak  12 months WB current - One Time Payment,DavidStageNov08~8,ATTest~8,£815.01,null,£20.00,£47.01,1690000002517,3011949070,169028796,0068E000009BA2K,
OLJPLAIN06 Anytime  12 months current - DD,David,Archer,£1,028.57,£79.00,£20.00,£60.57,1690000002518,3011949317,169028797,0068E000009BA2Z,
OLJPLAIN07 Anytime  12 months current - DD,David,Archer,£773.23,£59.00,£20.00,£45.23,1690000002519,3011949611,169028798,0068E000009BA3X,
OLJPLAIN01 Anytime  12 months current - One Time Payment,DavidStageNov08~9,ATTest~9,£850.08,null,£20.00,£49.08,1690000002520,3011949880,169028799,0068E000009BA4u,
