forename,surname,total,monthly,fee,prorata,orid,payref,membership,id,
DavidApr26MK~8,ATTest~8,£900.87,£72.42,£20.00,£11.87,1691000000021,3002658404,169026953,0067E000002fPOd,
DavidApr26MK~9,ATTest~9,£267.00,£78.00,£20.00,£13.00,1691000000022,3002658440,169026954,0067E000002fPOn,
DavidApr26MK~10,ATTest~10,£677.87,£54.08,£20.00,£8.87,1691000000023,3002658462,169026955,0067E000002fPOs,
DavidApr26MK~11,ATTest~11,£778.22,£62.33,£20.00,£10.22,1691000000024,3002658480,169026956,0067E000002fPOx,
David,Archer,£112.17,£79.00,£20.00,£13.17,1691000000026,3002658517,169026958,0067E000002fPP7,
David,Archer,£111.00,£78.00,£20.00,£13.00,1691000000027,3002658556,169026959,0067E000002fR4Q,
David,Archer,£88.83,£59.00,£20.00,£9.83,1691000000028,3002658591,169026960,0067E000002fSqB,
David,Archer,£99.33,£68.00,£20.00,£11.33,1691000000029,3002658642,169026961,0067E000002fTMb,
David,Archer,£95.83,£65.00,£20.00,£10.83,1691000000030,3002658669,169026962,0067E000002fTMq,
David,Archer,£102.83,£71.00,£20.00,£11.83,1691000000032,3002658717,169026963,0067E000002fTNA,
DavidApr26MK~13,ATTest~13,£811.67,£65.08,£20.00,£10.67,1691000000033,3002658756,169026964,0067E000002fTNK,
DavidMay12MK~2,ATTest~2,£936.49,£72.42,£20.00,£47.49,1690000001071,3003320491,169028336,0068E000004d91F,
David,Archer,£67.81,£78.00,£20.00,£47.81,1690000001101,3003354377,169028340,0068E000004dJHP,
DavidMay13MK~1,ATTestUAT~1,£934.11,£72.42,£20.00,£45.11,1690000001102,3003354433,169028341,0068E000004dJJL,
DavidMay13MK~2,ATTestUAT~2,£934.11,£72.42,£20.00,£45.11,1690000001103,3003354524,169028342,0068E000004dJTL,
DavidMay13MK~3,ATTestUAT~3,£835.14,£65.08,£20.00,£34.14,1690000001104,3003424415,169028343,0068E000004dTFg,
DavidMay13MK~4,ATTestUAT~4,£926.99,£72.42,£20.00,£37.99,1690000001105,3003424472,169028344,0068E000004dTFq,
DavidMay13MK~5,ATTestUAT~5,£294.70,£78.00,£20.00,£40.70,1690000001106,3003424666,169028345,0068E000004dTGK,
DavidMay13MK~6,ATTestUAT~6,£800.70,£62.33,£20.00,£32.70,1690000001107,3003424763,169028346,0068E000004dTL0,
David,Archer,£50.45,£59.00,£20.00,£30.45,1690000001110,3003425645,169028348,0068E000004dUQ5,
David,Archer,£55.10,£68.00,£20.00,£35.10,1690000001111,3003425895,169028349,0068E000004dUQy,
David,Archer,£53.55,£65.00,£20.00,£33.55,1690000001112,3003426023,169028350,0068E000004dUSQ,
DavidMay13MK~7,ATTestUAT~7,£697.37,£54.08,£20.00,£28.37,1690000001113,3003426848,169028351,0068E000004dUyR,
David,Archer,£60.26,£78.00,£20.00,£40.26,1690000001115,3003427150,169028353,0068E000004dUzK,
David,Archer,£127.65,£71.00,£20.00,£36.65,1690000001120,3003433898,169028358,0068E000004dYKy,
David,Archer,£60.77,£79.00,£20.00,£40.77,1690000001121,3003437051,169028359,0068E000004dZ3Y,
DavidMay17MK~2,ATTestUAT~2,£833.01,£65.08,£20.00,£32.01,1690000001136,3003482143,987654321,0068E000004dgBV,
DavidMay17MK~3,ATTestUAT~3,£833.01,£65.08,£20.00,£32.01,1690000001138,3003482507,987654321,0068E000004dgHJ,
DavidMay17MK~4,ATTestUAT~4,£833.01,£65.08,£20.00,£32.01,1690000001140,3003483027,987654321,0068E000004dgz3,
DavidMay17MK~5,ATTestUAT~5,£833.01,£65.08,£20.00,£32.01,1690000001142,3003483475,987654321,0068E000004dh0k,
David,Archer,£58.23,£79.00,£20.00,£38.23,1690000001143,3003483586,987654321,0068E000004dh19,
David,Archer,£58.23,£79.00,£20.00,£38.23,1690000001148,3003487689,987654321,0068E000004dhxK,
David,Archer,£58.23,£79.00,£20.00,£38.23,1690000001149,3003490261,169028366,0068E000004diSw,
